Time,Trial 1,Trial 2,Trial 3
5,5.698,5.504,5.389
10,5.998,5.828,5.888
15,6.248,6.198,6.221
20,6.598,6.462,6.528
25,6.899,6.788,6.894
30,7.199,7.088,7.198
35,7.457,7.409,7.468
40,7.799,7.728,7.788
45,8.094,8.029,8.068
50,8.358,8.39,8.388
55,8.698,8.688,8.683
60,8.946,8.978,8.988
65,9.248,9.288,9.289
70,9.592,9.588,9.608
75,9.848,9.908,9.929
80,10.199,10.238,10.248
85,10.498,10.598,10.522
90,10.793,10.898,10.838
95,11.048,11.168,11.198
100,11.358,11.488,11.488
105,11.699,11.789,11.768
110,11.958,12.084,12.086
115,12.298,12.488,12.378
120,12.529,12.788,12.689
125,12.825,13.029,12.988
130,13.122,13.399,13.282
135,13.423,13.697,13.581
140,13.727,13.983,13.888
145,14.008,14.282,14.289
150,14.286,14.588,14.589
155,14.683,14.889,14.807
160,14.888,15.287,15.129
165,15.187,15.506,15.429
170,15.486,15.828,15.726
175,15.782,16.138,16.021
180,16.088,16.428,16.328
185,16.388,16.799,16.692
190,16.685,17.098,16.998
195,16.98,17.368,17.29
200,17.268,17.684,17.595
205,17.55,17.989,17.895
210,18.898,18.282,18.192
215,18.192,18.582,18.492
220,18.429,18.888,18.796
225,18.726,19.209,19.096
230,19.028,19.588,19.398
235,19.322,19.808,19.66
240,19.606,20.126,19.918
245,19.887,20.428,20.289
250,20.18,20.726,20.522
255,20.485,21.092,20.824
260,20.788,21.393,21.124
265,21.089,21.698,21.42
270,21.366,21.958,21.702
275,21.65,22.28,22.009
280,21.992,22.587,22.308
285,22.227,22.888,22.609
290,22.522,23.189,22.908
295,22.823,23.484,23.202
300,23.105,23.88,23.903
305,23.388,24.1,23.88
310,23.681,24.488,24.08
315,23.98,24.709,24.389
320,24.282,25.088,24.687
325,24.584,25.388,24.989
330,24.896,25.885,25.281
335,25.126,26.002,25.581
340,25.426,26.392,25.888
345,25.708,26.608,26.189
350,26.085,26.992,26.468
355,26.285,27.22,26.767
360,26.577,27.528,27.092
365,26.868,27.83,27.391
370,27.196,28.126,27.699
375,27.496,28.491,27.993
380,27.728,28.796,28.298
385,28.028,29.092,28.529
390,28.286,29.399,28.888
395,28.586,29.698,29.106
400,28.889,29.992,29.402
405,29.189,30.295,29.785
410,29.452,30.56,29.998
415,29.791,30.862,30.286
420,30.028,31.166,30.588
425,30.378,31.498,30.884
430,30.689,31.762,31.179
435,30.883,32.066,31.469
440,31.17,32.358,31.798
445,31.46,32.66,32.09
450,31.796,32.969,32.397
455,32.029,33.263,32.633
460,32.323,33.566,32.926
465,32.68,33.855,33.207
470,32.889,34.159,33.503
475,33.182,34.498,33.888
480,33.46,34.799,34.089
485,33.798,35.062,34.389
490,34.026,35.392,34.678
495,34.303,35.699,34.912
500,34.68,35.992,35.268
505,34.88,,
510,35.187,,
515,35.458,,
