Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,0.338,0.37,0.858,0.746,0.113
5,0.407,0.441,0.927,0.815,0.171
10,0.466,0.507,0.984,0.888,0.239
15,0.539,0.574,1.054,0.956,0.304
20,0.607,0.637,1.117,1.024,0.368
25,0.671,0.704,1.175,1.099,0.435
30,0.739,0.768,1.241,1.164,0.498
35,0.807,0.831,1.305,1.238,0.561
40,0.87,0.899,1.376,1.306,0.625
45,0.938,0.96,1.423,1.372,0.697
50,1.004,1.023,1.495,1.444,0.754
55,1.07,1.089,1.557,1.512,0.817
60,1.132,1.152,1.611,1.58,0.878
65,1.198,1.213,1.68,1.65,0.94
70,1.266,1.277,1.745,1.716,1.004
75,1.33,1.336,1.807,1.782,1.065
80,1.392,1.404,1.868,1.843,1.128
85,1.455,1.463,1.929,1.917,1.193
90,1.514,1.525,1.989,1.987,1.25
95,1.582,1.586,2.054,2.055,1.32
100,1.647,1.646,2.116,2.12,1.382
105,1.712,1.711,2.176,2.186,1.441
110,1.775,1.772,2.235,2.255,1.505
115,1.841,1.831,2.307,2.321,1.566
120,1.9,1.892,2.352,2.387,1.625
125,1.963,1.952,2.413,2.451,1.688
130,2.03,2.013,2.483,2.521,1.75
135,2.089,2.072,2.543,2.584,1.812
140,2.151,2.136,2.604,2.655,1.872
145,2.217,2.197,2.665,2.719,1.931
150,2.276,2.257,2.726,2.787,1.993
155,2.338,2.316,2.785,2.854,2.051
160,2.404,2.373,2.846,2.919,2.111
165,2.464,2.434,2.911,2.982,2.175
170,2.524,2.494,2.967,3.05,2.232
175,2.589,2.557,3.032,3.113,2.292
180,2.653,2.615,3.093,3.18,2.354
