Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,4.891,4.463,4.537,4.948,5.974
5,5.023,4.6,4.678,5.075,6.106
10,5.151,4.735,4.814,5.213,6.232
15,5.276,4.87,4.956,5.347,6.353
20,5.413,5.013,5.094,5.471,6.488
25,5.56,5.147,5.233,5.611,6.62
30,6.675,5.276,5.375,5.745,6.745
35,5.81,5.419,5.51,5.872,6.876
40,5.934,5.559,5.642,6.003,7
45,6.073,5.693,5.799,6.136,7.131
50,6.207,5.83,5.927,6.272,7.253
55,6.334,5.964,6.061,6.399,7.375
60,6.473,6.105,6.203,6.521,7.519
65,6.597,6.239,6.338,6.661,7.639
70,6.731,6.377,6.479,6.794,7.763
75,6.854,6.512,6.611,6.923,7.892
80,6.992,6.649,6.752,7.05,8.015
85,7.125,6.781,6.887,7.185,8.148
90,7.254,6.916,7.027,7.315,8.273
95,7.387,7.051,7.154,7.449,8.401
100,7.513,7.19,7.3,7.576,8.524
105,7.648,7.249,7.435,7.71,8.654
110,7.776,7.462,7.574,7.832,8.777
115,7.91,7.6,7.708,7.967,8.906
120,8.036,7.736,7.847,8.093,9.035
125,8.164,7.871,7.982,8.224,9.155
130,8.298,8.005,8.12,8.355,9.274
135,8.425,8.144,8.252,8.481,9.407
140,8.559,8.275,8.392,8.615,9.531
145,8.691,8.413,8.522,8.735,9.656
150,8.825,8.543,8.661,8.865,9.774
155,8.951,8.671,8.794,8.989,9.907
160,9.073,8.81,8.932,9.118,10.035
165,9.21,8.948,9.062,9.243,10.158
170,9.343,9.076,9.2,9.374,
175,9.469,9.214,9.332,9.501,
180,9.502,9.344,9.468,9.627,
