Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,1.843,0.265,1.617,0.554,0.652
5,1.934,0.408,1.704,0.673,0.701
10,2.051,0.558,1.795,0.85,0.946
15,2.155,0.706,1.919,0.994,1.091
20,2.22,0.846,2.068,1.135,1.231
25,2.356,1.006,2.196,1.272,1.38
30,2.496,1.142,2.345,1.516,1.53
35,2.632,1.284,2.491,1.582,1.675
40,2.786,1.431,2.655,1.749,1.825
45,2.921,1.572,2.811,1.915,1.973
50,3.075,1.719,2.962,2.072,2.12
55,3.223,1.869,3.195,2.24,2.267
60,3.373,2.017,3.247,2.372,2.406
65,3.51,2.156,3.397,2.519,2.554
70,3.631,2.203,3.541,2.635,2.697
75,3.773,2.444,3.659,2.772,2.84
80,3.889,2.593,3.795,2.916,2.975
85,3.996,2.736,3.951,3.055,3.126
90,4.114,2.893,4.194,3.195,3.274
95,4.237,3.037,4.24,3.335,3.421
100,4.34,3.175,4.377,3.479,3.564
105,4.484,3.321,4.528,3.621,3.707
110,4.621,3.473,4.67,3.759,3.848
115,4.774,3.621,4.841,3.87,3.995
120,4.923,3.772,4.994,4.011,4.132
125,5.104,3.92,5.142,4.156,4.279
130,5.242,4.053,5.296,4.325,4.426
135,5.39,4.213,5.455,4.491,4.566
140,5.546,4.363,5.605,4.64,4.713
145,5.692,4.511,5.752,4.777,4.851
150,5.832,4.652,5.894,4.916,5.001
155,5.97,4.876,6.043,5.065,5.141
160,,4.959,6.203,5.2,5.295
165,,5.112,6.353,5.346,5.435
170,,5.256,6.504,5.48,5.582
175,,5.402,6.651,5.622,5.721
180,,5.556,6.701,5.761,5.873
