Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,0.613,0.991,0.539,0.154,0.274
5,0.757,1.137,0.691,0.301,0.42
10,0.905,1.283,0.834,0.442,0.571
15,1.041,1.424,0.983,0.589,0.722
20,1.184,1.57,1.13,0.727,0.869
25,1.317,1.712,1.27,0.868,1.013
30,1.461,1.852,1.418,1.009,1.155
35,1.6,1.986,1.561,1.145,1.294
40,1.734,2.13,1.699,1.283,1.44
45,1.874,2.271,1.843,1.424,1.582
50,2.01,2.41,1.975,1.558,1.72
55,2.145,2.54,2.122,1.695,1.867
60,2.279,2.682,2.252,1.834,2.006
65,2.414,2.818,2.397,1.966,2.14
70,2.544,2.953,2.537,2.104,2.282
75,2.676,3.091,2.67,2.232,2.418
80,2.815,3.222,2.81,2.368,2.561
85,2.942,3.362,2.944,2.496,2.696
90,3.078,3.472,3.083,2.63,2.837
95,3.207,3.517,3.215,2.761,2.971
100,3.334,3.638,3.353,2.894,3.114
105,3.468,3.773,3.485,3.03,3.248
110,3.596,3.907,3.623,3.156,3.389
115,3.728,4.309,3.75,3.291,3.522
120,3.862,4.167,3.893,3.415,3.663
125,3.997,4.305,4.031,3.551,3.797
130,4.125,4.431,4.162,3.679,3.937
135,4.25,4.569,4.299,3.812,4.07
140,4.387,4.697,4.43,3.939,4.21
145,4.52,4.832,4.567,4.07,4.35
150,4.644,4.963,4.704,4.204,4.481
155,4.781,5.096,4.835,4.327,4.619
160,4.915,5.232,4.972,4.46,4.757
165,5.042,5.365,5.111,4.587,4.891
170,5.176,5.499,5.243,4.718,5.028
175,5.302,5.629,5.371,4.844,5.159
180,5.433,5.764,5.511,4.979,5.298
