Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,0.511,1.008,0.272,1.043,0.989
5,0.589,1.089,0.366,1.103,1.084
10,0.706,1.174,0.455,1.173,1.157
15,0.779,1.263,0.545,1.25,1.256
20,0.875,1.34,0.639,1.343,1.329
25,0.953,1.431,0.729,1.414,1.414
30,1.053,1.517,0.818,1.49,1.496
35,1.131,1.603,0.905,1.577,1.582
40,1.217,1.69,0.992,1.653,1.667
45,1.317,1.777,1.073,1.772,1.743
50,1.397,1.86,1.175,1.851,1.832
55,1.479,1.951,1.257,1.925,1.937
60,1.564,2.035,1.341,2.005,2.025
65,1.645,2.147,1.428,2.082,2.109
70,1.729,2.228,1.514,2.164,2.193
75,1.834,2.309,1.598,2.248,2.275
80,1.913,2.392,1.685,2.374,2.356
85,1.992,2.475,1.772,2.45,2.458
90,2.073,2.55,1.855,2.524,2.537
95,2.157,2.641,1.938,2.605,2.62
100,2.236,2.724,2.023,2.685,2.702
105,2.319,2.805,2.175,2.762,2.794
110,2.404,2.889,2.194,2.84,2.871
115,2.484,2.973,2.274,2.91,2.966
120,2.57,3.058,2.35,2.994,3.054
125,2.676,3.138,2.442,3.074,3.144
130,2.751,3.228,2.524,3.154,3.227
135,2.834,3.312,2.604,3.287,3.307
140,2.917,3.394,2.692,3.36,3.395
145,2.991,3.475,2.772,3.434,3.471
150,3.077,3.561,2.853,3.514,3.555
155,3.161,3.641,2.934,3.593,3.638
160,3.244,3.735,3.012,3.672,3.722
165,3.322,3.833,3.097,3.743,3.807
170,3.413,3.911,3.174,3.827,3.887
175,3.492,3.992,3.255,3.904,3.968
180,3.577,4.071,3.335,3.971,4.054
