Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,0.442,2.632,1.304,2.075,1.072
5,0.652,2.825,1.493,2.247,1.276
10,0.872,3.015,1.686,2.434,1.471
15,1.073,3.201,1.865,2.623,1.653
20,1.271,3.394,2.056,2.811,1.859
25,1.475,3.581,2.231,2.992,2.045
30,1.671,3.773,2.42,3.177,2.233
35,1.851,3.967,2.604,3.358,2.414
40,2.054,4.142,2.786,3.534,2.612
45,2.245,4.344,2.96,3.719,2.797
50,2.434,4.525,3.14,3.904,2.987
55,2.623,4.715,3.325,4.096,3.172
60,2.812,4.895,3.402,4.275,3.354
65,3.005,5.077,3.68,4.44,3.547
70,3.191,5.277,3.858,4.631,3.729
75,3.377,5.452,4.032,4.817,3.915
80,3.564,4.643,4.214,4.993,4.193
85,3.743,5.834,4.389,5.174,4.29
90,3.941,6.012,4.565,5.357,4.471
95,4.126,6.204,4.743,5.537,4.653
100,4.315,6.391,4.918,5.719,4.845
105,4.493,6.573,5.1,5.898,5.024
110,4.672,6.755,5.275,6.074,5.217
115,4.861,6.951,5.449,6.252,5.393
120,5.056,7.141,5.63,6.444,5.576
125,5.242,7.324,5.809,6.632,5.754
130,5.431,7.514,8.974,6.812,5.947
135,5.617,7.696,6.161,6.993,6.123
140,5.799,7.872,6.334,7.173,6.311
145,5.972,8.055,6.514,7.354,6.492
150,6.156,8.251,6.687,7.537,6.674
155,6.344,8.439,6.862,7.719,6.853
160,6.532,8.624,7.04,7.997,7.044
165,6.725,8.717,7.217,8.078,7.227
170,6.907,8.996,7.39,8.252,7.411
175,7.095,9.17,7.564,8.441,7.594
