Time,Trial 1,Trial 2,Trial 3
1125,32.782,30.382,31.016
1130,32.897,30.477,31.101
1135,33.015,30.565,31.187
1140,33.127,30.654,31.272
1145,33.241,30.749,31.363
1150,33.356,30.837,31.447
1155,33.47,30.925,31.532
1160,33.575,31.018,31.621
1165,33.695,31.105,31.706
1170,33.806,31.193,31.794
1175,33.923,31.273,31.883
1180,34.025,31.368,31.977
1185,34.143,31.453,32.073
1190,34.256,31.545,32.174
1195,34.373,31.63,32.287
1200,34.475,31.714,32.395
1205,34.595,31.804,32.508
1210,34.704,31.887,32.618
1215,34.821,31.969,32.732
1220,34.934,32.057,32.847
1225,35.044,32.139,32.945
1230,35.153,32.22,33.051
1235,35.262,32.301,33.165
1240,35.369,32.387,33.271
1245,35.485,32.468,33.384
1250,35.591,32.548,33.497
1255,,32.633,33.598
1260,,32.712,33.704
1265,,32.79,33.808
1270,,32.875,33.913
1275,,32.953,34.015
1280,,33.03,34.127
1285,,33.112,34.229
1290,,33.189,34.332
1295,,33.264,34.441
1300,,33.345,34.545
1305,,33.422,34.645
1310,,33.498,34.753
1315,,33.578,34.856
1320,,33.653,34.955
1325,,33.728,35.053
1330,,33.808,35.164
1335,,33.882,35.262
1340,,33.956,35.369
1345,,34.034,35.469
1350,,34.107,35.57
1355,,34.184,35.675
1360,,34.257,35.776
1365,,34.329,35.869
1370,,34.407,
1375,,34.478,
1380,,34.551,
1385,,34.622,
