Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,0.405,0.234,1.073,2.743,0.502
5,0.517,0.38,1.199,2.869,0.607
10,0.654,0.521,1.322,2.995,0.739
15,0.801,0.664,1.435,3.132,0.86
20,0.944,0.802,1.56,3.267,0.987
25,1.089,0.924,1.672,3.396,1.117
30,1.221,1.061,1.796,3.535,1.248
35,1.366,1.193,1.916,3.667,1.374
40,1.511,1.327,2.033,3.803,1.511
45,1.647,1.467,2.156,3.945,1.635
50,1.787,1.594,2.277,4.073,1.767
55,1.927,1.716,2.403,4.21,1.905
60,2.061,1.839,2.532,4.338,2.037
65,22.02,1.954,2.653,4.475,2.175
70,2.333,2.064,2.768,4.615,2.307
75,2.427,2.136,2.864,4.743,2.444
80,2.601,2.177,2.966,4.874,2.572
85,2.738,2.254,3.021,5.013,2.713
90,2.877,2.397,3.143,5.139,2.855
95,3.008,2.536,3.271,5.277,2.986
100,3.147,2.67,3.386,5.417,3.122
105,3.275,2.796,3.498,5.543,3.245
110,3.414,2.925,3.615,5.678,3.386
115,3.546,3.051,3.743,5.808,3.521
120,3.683,3.185,3.999,5.945,3.791
125,3.813,3.311,4.137,6.073,3.921
130,3.949,3.442,4.253,6.21,4.056
135,4.077,3.577,4.388,6.337,4.192
140,4.216,3.699,4.513,6.473,4.322
145,4.353,3.83,4.645,6.611,4.455
150,4.492,3.955,4.772,6.738,4.583
155,4.617,4.087,4.896,6.869,4.719
160,4.751,4.211,5.029,7.004,4.844
165,4.887,4.339,5.153,7.131,4.983
170,5.017,,5.284,7.264,5.117
175,5.153,,5.405,7.392,5.245
180,5.283,,5.533,7.529,5.341
