Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,0.963,4.406,1.231,1.406,1.058
5,1.051,4.497,1.333,1.483,1.157
10,1.158,4.591,1.422,1.566,1.264
15,1.257,4.682,1.517,1.652,1.361
20,1.362,4.779,1.611,1.739,1.464
25,1.465,4.873,1.706,1.827,1.568
30,1.564,4.971,1.798,1.918,1.674
35,1.668,5.068,1.893,2.013,1.775
40,1.771,5.165,1.984,2.099,1.875
45,1.877,5.264,2.075,2.196,1.978
50,1.974,5.354,2.168,2.286,2.074
55,2.076,5.459,2.253,2.373,2.179
60,2.178,5.557,2.353,2.468,2.278
65,2.276,5.652,2.443,2.564,2.372
70,2.371,5.753,2.536,2.656,2.474
75,2.481,5.848,2.625,2.747,2.567
80,2.578,5.945,2.719,2.84,2.671
85,2.677,6.042,2.818,2.924,2.766
90,2.772,6.139,2.897,3.021,2.858
95,2.872,6.236,2.985,3.113,2.955
100,2.972,6.333,3.076,3.205,3.067
105,3.08,6.429,3.164,3.301,3.151
110,3.176,6.53,3.25,4.063,3.254
115,3.276,6.625,3.334,3.486,3.355
120,3.376,6.722,3.419,3.577,3.446
125,3.478,6.818,3.506,3.671,3.545
130,3.573,6.917,3.593,3.762,3.642
135,3.672,7.009,3.675,3.854,3.74
140,3.771,7.107,3.762,3.942,3.838
145,3.873,7.199,3.847,4.043,3.937
150,3.971,7.298,3.937,4.139,4.029
155,4.068,7.392,4.014,4.232,4.13
160,4.169,7.49,4.105,4.325,4.222
165,4.263,7.583,1.192,4.422,4.319
170,4.364,7.68,4.28,4.514,4.413
175,4.463,7.775,4.364,4.612,4.503
180,4.559,7.871,4.52,4.71,4.6
