Time,Trial 1,Trial 2,Trial 3
5,3.774,4.752,4.684
10,3.947,4.914,4.858
15,4.12,5.097,5.023
20,4.277,5.267,5.209
25,4.461,5.432,5.372
30,4.624,5.605,5.553
35,4.702,5.771,5.732
40,4.969,5.843,5.906
45,5.134,5.951,6.074
50,5.303,6.125,6.251
55,5.47,6.293,6.426
60,5.628,6.465,6.605
65,5.791,6.631,6.771
70,5.965,6.799,6.941
75,6.135,6.961,7.123
80,6.291,7.129,7.295
85,6.457,7.293,7.456
90,6.625,7.465,7.647
95,6.783,7.635,7.814
100,6.953,7.791,7.977
105,7.115,7.964,8.153
110,7.278,8.122,8.323
115,7.444,8.292,8.495
120,7.603,8.459,8.674
125,7.762,8.618,8.839
130,7.933,8.788,9.014
135,8.095,8.952,9.184
140,8.257,9.172,9.346
145,8.417,9.286,9.52
150,8.578,9.868,9.795
155,8.737,9.988,9.864
160,8.902,10.133,10.04
165,9.067,10.291,10.212
170,9.225,10.44,10.371
175,9.385,10.607,10.541
180,9.545,10.764,10.716
185,9.706,10.93,10.892
190,9.867,11.092,11.044
195,10.03,11.257,11.224
200,10.193,11.414,11.393
205,10.351,11.57,11.554
210,10.514,11.733,11.735
215,10.673,11.892,11.995
220,10.834,12.055,12.068
225,10.993,12.216,12.232
230,11.149,12.374,12.403
235,11.312,12.534,12.572
240,11.461,12.696,12.741
245,11.625,12.857,12.911
250,11.777,13.277,13.071
255,11.938,13.181,13.244
260,12.091,13.341,13.413
265,12.25,13.502,13.573
270,12.408,13.666,13.742
275,12.563,13.824,13.913
280,12.722,13.991,14.077
285,12.899,14.151,14.247
290,13.035,14.313,14.444
295,13.197,14.473,14.583
300,13.344,14.633,14.742
305,13.501,14.791,14.912
310,13.658,14.95,15.081
315,13.814,15.111,15.218
320,13.963,15.272,15.412
325,14.118,15.431,15.586
330,14.273,15.594,15.749
335,14.423,15.742,15.914
340,14.578,15.903,16.075
345,14.689,16.065,16.241
350,14.882,16.224,16.403
355,15.036,16.382,16.574
360,15.187,16.545,16.734
365,15.336,16.704,16.901
370,15.49,16.857,17.065
375,15.641,17.014,17.221
380,15.793,17.176,17.397
385,15.942,17.328,17.558
390,16.093,17.483,17.722
395,16.244,17.645,17.886
400,16.391,17.805,18.047
405,16.542,17.961,18.211
410,16.694,18.126,18.375
415,16.842,18.277,18.541
420,16.993,18.445,18.795
425,17.144,18.571,18.863
430,17.287,18.763,19.027
435,17.439,18.936,19.192
440,17.59,19.103,19.341
445,17.737,19.266,19.513
450,17.887,19.428,19.675
455,18.033,19.587,19.845
460,18.181,19.747,10.002
465,18.333,19.907,20.154
470,18.482,20.055,20.317
475,18.63,20.224,20.487
480,18.778,20.382,20.46
485,18.925,20.539,20.793
490,19.073,20.691,20.961
495,19.214,20.848,21.123
500,19.361,21.006,21.273
505,19.508,21.16,21.445
510,19.654,21.318,21.607
515,19.799,21.473,21.751
520,19.945,20.624,21.922
525,20.09,21.774,22.073
530,20.229,21.931,22.244
535,20.375,22.087,22.4
540,20.519,22.242,22.553
