Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,5.81,1.453,2.092,1.981,4.532
5,6.013,1.673,2.284,2.179,4.734
10,6.214,1.887,2.474,2.371,4.933
15,6.422,2.092,2.681,2.579,5.131
20,6.626,2.306,2.873,2.776,5.324
25,6.827,2.517,3.077,2.979,5.535
30,7.037,2.713,3.277,3.175,5.735
35,7.24,2.926,3.464,3.374,5.946
40,7.444,3.132,3.653,3.566,6.145
45,7.644,3.341,3.855,3.754,6.338
50,7.845,3.541,4.044,3.951,6.542
55,8.047,3.747,4.244,4.153,6.746
60,8.244,3.944,4.435,4.347,6.937
65,8.442,4.152,4.627,4.542,7.132
70,8.53,4.353,4.821,4.741,7.334
75,8.855,4.552,5.014,4.935,7.546
80,9.045,4.761,5.103,5.135,7.746
85,9.251,4.967,5.396,5.329,7.937
90,9.451,5.165,5.594,5.522,8.141
95,9.651,5.272,5.771,5.712,8.331
100,8.851,5.575,5.971,5.915,8.537
105,10.059,5.771,6.152,6.11,8.735
110,10.255,5.976,6.352,6.302,8.932
115,10.451,6.173,6.546,6.495,9.134
120,10.651,6.376,6.731,6.693,9.334
125,10.855,6.571,6.925,6.885,9.535
130,11.051,6.774,7.121,7.076,9.734
135,11.256,6.973,7.314,7.275,9.931
140,11.451,7.174,7.494,7.467,10.134
145,11.649,7.375,7.69,7.658,10.335
150,11.85,7.574,7.874,7.852,10.532
155,12.053,7.771,8.067,8.043,10.73
160,12.243,7.967,8.252,8.237,10.922
165,12.448,8.174,8.441,8.432,11.125
170,12.648,8.373,8.635,8.627,11.319
175,12.841,8.576,8.828,8.813,11.521
180,13.041,8.775,9.022,9.016,11.716
