Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,0.344,0.372,1.808,0.506,0.493
5,0.437,0.458,1.883,0.59,0.583
10,0.527,0.543,1.962,0.676,0.671
15,0.625,0.629,2.044,0.762,0.757
20,0.714,0.718,2.121,0.843,0.846
25,0.804,0.804,2.204,0.932,0.934
30,0.894,0.889,2.288,1.021,1.019
35,0.986,0.971,2.366,1.11,1.108
40,1.069,1.061,2.449,1.195,1.195
45,1.159,1.146,2.533,1.27,1.277
50,1.247,1.23,2.613,1.364,1.368
55,1.335,1.317,2.692,1.453,1.453
60,1.421,1.402,2.779,1.536,1.58
65,1.514,1.483,2.852,1.625,1.625
70,1.598,1.569,2.941,1.709,1.711
75,1.684,1.653,3.023,1.796,1.795
80,1.771,1.736,3.103,1.881,1.879
85,1.854,1.817,3.184,1.975,1.967
90,1.939,1.902,3.265,2.056,2.051
95,2.025,1.983,3.343,2.137,2.134
100,2.11,2.063,3.422,2.224,2.215
105,2.196,2.142,3.506,2.305,2.3
110,2.28,2.232,3.587,2.394,2.385
115,2.365,2.316,3.662,2.476,2.469
120,2.447,2.396,3.742,2.559,2.552
125,2.526,2.47,3.82,2.64,2.632
130,2.609,2.552,3.899,2.724,2.713
135,2.693,2.641,3.971,2.807,2.801
140,2.775,2.724,4.061,2.891,2.885
145,2.852,2.803,4.139,2.975,2.964
150,2.944,2.887,4.221,3.052,3.047
155,3.025,2.97,4.301,3.14,3.13
160,3.107,3.05,4.379,3.224,3.214
165,3.204,3.135,4.457,3.306,3.297
170,3.276,3.217,4.538,3.39,3.373
175,3.356,3.302,4.618,3.473,3.458
180,3.441,3.373,4.705,3.556,3.539
