Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,0.292,0.681,1.376,0.471,0.864
5,0.425,0.812,1.492,0.6,0.915
10,0.562,0.939,1.616,0.723,1.044
15,0.698,1.067,1.736,0.851,1.174
20,0.832,1.189,1.857,0.977,1.3
25,0.954,1.317,1.972,1.097,1.436
30,1.096,1.443,2.095,1.223,1.556
35,1.221,1.563,2.208,1.347,1.682
40,1.352,1.692,2.337,1.465,1.809
45,1.483,1.812,2.451,1.588,1.925
50,1.603,1.934,2.568,1.703,2.05
55,1.731,2.052,2.693,1.827,2.173
60,1.857,2.173,2.809,1.944,2.297
65,1.98,2.291,2.93,2.055,2.414
70,2.108,2.417,3.05,2.18,2.536
75,2.235,2.533,3.17,2.301,2.652
80,2.354,2.655,3.289,2.422,2.774
85,2.472,2.777,3.407,2.536,2.895
90,2.604,2.894,3.52,2.652,3.011
95,2.724,3.014,3.639,2.773,3.133
100,2.847,3.124,3.751,2.892,3.253
105,2.973,3.243,3.871,3.006,3.372
110,3.091,3.354,3.991,3.125,3.486
115,3.217,3.479,4.111,3.242,3.607
120,3.342,3.6,4.231,3.354,3.721
125,3.465,3.718,4.345,3.472,3.84
130,3.585,3.835,4.453,3.591,3.955
135,3.71,3.955,4.577,3.703,4.074
140,3.829,4.069,4.695,3.82,4.197
145,3.954,4.19,4.81,3.933,4.306
150,4.072,4.308,4.926,4.049,4.426
155,4.196,4.424,5.045,4.168,4.54
160,4.318,4.535,5.154,4.285,4.661
165,4.433,4.654,5.274,4.398,4.777
170,4.557,4.774,5.395,4.517,4.896
175,4.681,4.893,5.513,4.627,5.015
180,4.795,5.007,5.624,4.744,5.129
