Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,0.897,0.19,0.092,0.976,0.485
5,1.045,0.314,0.208,1.095,0.595
10,1.191,0.443,0.324,1.201,0.712
15,1.323,0.566,0.444,1.317,0.814
20,1.457,0.686,0.557,1.436,0.935
25,1.581,0.809,0.673,1.548,1.055
30,1.711,0.927,0.84,1.653,1.163
35,1.841,1.045,0.955,1.775,1.276
40,1.97,1.166,1.066,1.897,1.394
45,2.1,1.283,1.182,2.014,1.503
50,2.227,1.401,1.293,2.12,1.676
55,2.347,1.518,1.411,2.236,1.771
60,2.473,1.632,1.523,2.347,1.887
65,2.597,1.748,1.641,2.452,1.995
70,2.717,1.864,1.756,2.572,2.11
75,2.834,1.979,1.87,2.682,2.228
80,2.956,2.091,1.988,2.798,2.341
85,3.071,2.211,2.099,2.912,2.452
90,3.198,2.324,2.215,3.02,2.564
95,3.322,2.441,2.327,3.134,2.679
100,3.446,2.556,2.448,3.244,2.795
105,3.57,2.671,2.616,3.4,2.909
110,3.695,2.783,2.722,3.504,3.025
115,3.814,2.901,2.836,3.615,3.185
120,3.931,3.012,2.941,3.721,3.291
125,4.054,3.131,3.06,3.834,3.406
130,4.172,3.244,3.176,3.945,3.514
135,4.295,3.358,3.294,4.052,3.636
140,4.46,3.471,3.402,4.155,3.743
145,4.573,3.585,3.517,4.275,3.867
150,4.696,3.702,3.629,4.379,3.972
155,4.818,3.817,3.74,4.535,4.092
160,4.931,3.931,3.855,4.645,4.214
165,5.053,4.041,3.977,4.744,4.317
170,5.173,4.16,4.082,4.845,4.425
175,5.295,4.271,4.198,4.961,4.537
180,5.412,4.381,4.313,5.071,4.65
