Time,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0,0.273,8.004,13.977,21.171,27.224
5,0.421,8.109,14.082,21.269,27.335
10,0.539,8.215,14.187,21.371,27.437
15,0.671,8.327,14.297,21.476,27.539
20,0.795,8.431,14.405,21.573,27.648
25,0.916,8.54,14.515,21.682,27.759
30,1.032,8.644,14.621,21.783,27.863
35,1.155,8.757,14.726,21.891,27.963
40,1.271,8.862,14.834,21.992,28.073
45,1.391,8.97,14.935,22.097,28.172
50,1.506,9.078,15.046,22.196,28.276
55,1.626,9.187,15.154,22.295,28.374
60,1.733,9.294,15.259,22.403,28.487
65,1.846,9.407,15.361,22.501,28.583
70,1.956,9.505,15.462,22.606,28.689
75,2.045,9.616,15.573,22.705,28.789
80,2.151,9.719,15.674,22.812,28.897
85,2.253,9.931,15.777,22.909,28.995
90,2.37,10.043,15.876,23.007,29.094
95,2.475,10.144,15.987,23.113,29.19
100,2.581,10.254,16.086,23.214,29.294
105,2.689,10.352,16.191,23.323,29.392
110,2.794,10.464,16.287,23.421,29.495
115,2.902,10.574,16.394,23.529,29.591
120,3.014,10.675,16.491,23.631,29.694
125,3.113,10.787,16.596,23.74,29.792
130,3.22,10.89,16.695,23.837,29.888
135,3.327,10.998,16.795,23.941,29.983
140,3.428,11.106,16.903,24.045,30.083
145,3.535,11.212,17.001,24.153,30.181
150,3.645,11.316,17.106,24.253,30.274
155,3.744,11.421,17.211,24.352,30.372
160,3.841,11.521,17.316,24.46,30.468
165,3.953,11.633,17.412,24.559,30.572
170,4.056,11.741,17.513,24.667,30.667
175,4.157,11.845,17.621,24.766,30.752
180,4.262,11.951,17.718,24.873,30.854
