Time,Trial 1,Trial 2
5,0.915,0.505
10,1.045,0.724
15,1.155,0.85
20,1.269,0.949
25,1.385,1.069
30,1.501,1.152
35,1.611,1.272
40,1.727,1.387
45,1.843,1.505
50,1.955,1.62
55,2.07,1.742
60,2.186,1.859
65,2.298,1.979
70,2.416,2.193
75,2.527,2.213
80,2.639,2.327
85,2.751,2.446
90,2.866,2.556
95,2.975,2.675
100,3.09,2.794
105,3.201,2.913
110,3.313,3.034
115,3.423,3.15
120,3.534,3.268
125,3.651,3.377
130,3.759,3.493
135,3.873,3.609
140,3.982,3.721
145,4.151,7.838
150,4.264,3.954
155,4.275,4.064
160,4.483,4.18
165,4.593,4.304
170,4.705,4.413
175,4.819,4.529
180,4.924,4.644
185,5.034,4.754
190,5.145,4.863
195,5.257,4.985
200,5.364,5.101
205,5.474,5.21
210,5.582,5.327
215,5.599,5.436
220,5.806,5.551
225,5.919,5.661
230,6.023,5.777
235,6.134,5.896
240,6.245,5.998
245,6.353,6.128
250,6.459,6.235
255,6.571,6.35
260,6.676,6.455
265,6.788,6.574
270,6.898,6.689
275,7.005,6.799
280,7.115,6.914
285,7.22,7.021
290,7.332,7.135
295,7.444,7.242
300,7.631,7.356
305,7.737,7.469
310,7.843,7.577
315,7.944,7.691
320,8.058,7.82
325,8.17,7.932
330,8.276,8.04
335,8.388,8.152
340,8.499,8.266
345,8.675,8.372
350,8.716,8.486
355,8.825,8.593
360,8.932,8.706
365,9.042,8.813
370,9.153,8.924
375,9.256,9.032
380,9.366,9.143
385,9.477,9.255
390,9.586,9.362
395,9.691,9.473
400,9.702,9.582
405,9.916,9.695
410,10.017,9.823
415,10.124,9.933
420,10.234,10.045
425,10.343,10.15
430,10.449,10.251
435,10.559,10.405
440,10.664,10.477
445,10.774,10.587
450,10.878,10.694
455,10.989,10.794
460,11.093,10.91
465,15.413,11.012
470,11.389,11.127
475,11.497,11.235
480,11.601,11.342
485,11.711,11.45
490,11.814,11.555
495,11.924,11.664
500,12.026,11.771
505,12.136,11.915
510,13.235,12.013
515,12.346,12.117
520,12.451,12.226
525,12.55,12.33
530,12.657,12.431
535,12.769,12.541
540,12.876,12.644
545,12.983,12.746
550,13.086,12.852
555,13.196,12.958
560,13.203,13.064
565,13.41,13.171
570,13.515,13.274
575,13.725,13.383
580,13.832,13.484
585,13.934,13.595
590,14.041,13.694
595,14.147,13.796
600,14.253,13.905
605,14.359,14.031
610,15.46,14.133
615,14.57,14.241
620,14.675,14.347
625,14.774,14.441
630,14.884,14.552
635,14.991,14.654
640,15.097,14.763
645,15.296,14.858
650,15.393,
655,15.496,
660,15.59,
