Time,Trial 1,Trial 2
1540,13.875,14.773
1545,13.911,14.809
1550,13.945,14.841
1555,13.982,14.876
1560,14.014,14.917
1565,14.051,14.942
1570,14.084,14.976
1575,14.121,15.009
1580,14.151,15.043
1585,14.191,15.074
1590,14.226,15.109
1595,14.261,15.143
1600,14.294,15.174
1605,14.329,15.204
1610,14.365,15.239
1615,14.398,15.271
1620,14.433,15.305
1625,14.465,15.335
1630,14.501,15.37
1635,14.536,15.403
1640,14.568,15.433
1645,14.604,15.464
1650,14.636,15.497
1655,14.671,15.529
1660,14.701,15.562
1665,14.739,15.592
1670,14.773,15.626
1675,14.805,15.656
1680,14.84,15.688
1685,14.871,15.719
1690,14.906,15.753
1695,14.952,15.785
1700,14.973,15.815
1705,15.004,15.848
1710,15.039,15.878
1715,15.073,15.91
1720,15.105,15.94
1725,15.139,15.974
1730,15.174,16.002
1735,15.204,
1740,15.237,
1745,15.269,
1750,15.302,
1755,15.332,
1760,15.367,
1765,15.4,
1770,15.432,
1775,15.465,
1780,15.495,
1785,15.529,
1790,15.552,
1795,15.591,
1800,15.621,
1805,15.655,
1810,15.688,
1815,15.717,
1820,15.75,
1825,15.782,
1830,15.812,
1835,15.844,
1840,15.873,
1845,15.906,
1850,15.935,
1855,15.968,
1860,16,
1865,16.029,
1870,16.061,
1875,16.09,
1880,16.123,
1885,16.151,
1890,16.184,
1895,16.215,
1900,16.244,
1905,16.276,
1910,16.304,
1915,16.336,
1920,16.366,
1925,16.396,
