Time,Trial 1,Trial 2
5,1.025,1.656
10,1.104,1.74
15,1.192,1.831
20,1.271,1.913
25,1.364,2.002
30,1.447,2.09
35,1.535,2.173
40,1.613,2.255
45,1.696,2.341
50,1.78,2.426
55,1.861,2.51
60,1.945,2.596
65,2.024,2.709
70,2.104,2.775
75,2.186,2.859
80,2.265,2.945
85,2.348,3.028
90,2.422,3.109
95,2.509,3.192
100,2.595,3.277
105,2.669,3.357
110,2.744,3.441
115,2.835,3.52
120,2.904,3.605
125,2.981,3.684
130,3.067,3.768
135,3.143,3.855
140,3.226,3.933
145,3.304,4.014
150,3.381,4.099
155,3.462,4.181
160,3.543,4.262
165,3.622,4.341
170,3.7,4.425
175,3.779,4.508
180,3.859,4.589
185,3.938,4.669
190,4.014,4.747
195,4.092,4.831
200,4.173,4.913
205,4.254,4.989
210,4.332,5.07
215,4.414,5.152
220,4.491,5.233
225,4.572,5.316
230,4.654,5.396
235,4.732,5.473
240,4.81,5.557
245,4.892,5.636
250,4.972,5.711
255,5.051,5.791
260,5.131,5.871
265,5.209,5.95
270,5.289,6.023
275,5.366,6.109
280,5.45,6.186
285,5.529,6.266
290,5.438,6.347
295,5.688,6.419
300,5.768,6.503
305,5.846,6.584
310,5.924,6.66
315,6.005,6.741
320,6.082,6.814
325,6.16,6.894
330,6.236,6.975
335,6.313,7.051
340,6.394,7.13
345,6.472,7.205
350,6.551,7.284
355,6.628,7.36
360,6.707,7.439
365,6.785,7.516
370,6.855,7.591
375,6.939,7.672
380,7.017,7.747
385,7.097,7.823
390,7.177,7.901
395,7.255,7.975
400,7.336,8.056
405,7.408,8.131
410,7.488,8.204
415,7.563,8.284
420,7.643,8.361
425,7.718,8.434
430,7.797,8.514
435,7.876,8.59
440,7.952,8.663
445,8.032,8.743
450,8.108,8.817
455,8.185,8.889
460,8.262,8.967
465,8.338,9.044
470,8.416,9.117
475,8.494,9.189
480,8.567,9.267
485,8.645,9.34
490,8.722,9.417
495,8.798,9.49
500,8.874,9.564
505,8.95,9.639
510,9.025,9.711
515,9.1,9.786
520,9.179,9.862
525,9.253,9.936
530,9.331,10.012
535,9.407,10.084
540,9.481,10.154
545,9.554,10.232
550,9.63,10.306
555,9.707,10.381
560,9.783,10.454
565,9.859,10.528
570,9.934,10.602
575,10.009,10.672
580,10.083,10.748
585,10.155,10.819
590,10.233,10.895
595,10.31,10.967
600,10.383,11.04
605,10.46,11.113
610,10.532,11.183
615,10.608,11.255
620,10.685,11.321
625,10.753,11.403
630,10.832,11.473
635,10.904,11.55
640,10.981,11.62
645,11.055,11.695
650,11.129,11.765
655,11.204,11.838
660,11.277,11.913
665,11.349,11.983
670,11.425,12.058
675,11.499,12.132
680,11.573,12.206
685,11.644,12.276
690,11.722,12.345
695,11.794,12.42
700,11.865,12.49
705,11.939,12.564
710,12.014,12.634
715,12.087,12.703
720,12.155,12.778
725,12.251,12.849
730,12.322,12.919
735,12.393,12.993
740,12.463,13.062
745,12.534,13.136
750,12.608,13.204
755,12.677,13.273
760,12.751,13.346
765,12.82,13.414
770,12.892,13.487
775,12.965,13.555
780,13.034,13.623
785,13.105,13.696
790,13.178,13.764
795,13.247,13.836
800,13.32,13.904
805,13.39,13.976
810,13.461,14.043
815,13.531,14.115
820,13.605,14.181
825,13.677,14.248
830,13.747,14.32
835,13.817,14.386
840,13.892,14.458
845,13.962,14.523
850,14.029,14.592
855,14.104,14.66
860,14.173,14.727
865,14.242,14.797
870,14.312,14.862
875,14.385,14.928
880,14.455,14.998
885,14.523,15.066
890,14.596,15.133
895,14.664,15.201
900,14.734,15.266
905,14.802,15.331
910,14.871,15.397
915,14.938,15.467
920,15.013,15.534
925,15.073,15.6
930,15.149,15.664
935,15.217,15.734
940,15.284,15.799
945,15.353,15.871
950,15.424,15.94
955,15.495,16.009
960,15.563,16.075
965,15.63,16.147
970,15.698,16.213
975,15.762,16.278
980,15.833,16.35
985,15.906,16.415
990,15.969,16.485
995,16.018,16.551
1000,,16.618
1005,,16.684
1010,,16.756
1015,,16.822
1020,,16.885
