Time,Trial 1,Trial 2,Trial 3
0,-0.268,-0.239,-0.133
5,0.098,0.121,0.086
10,0.428,0.498,0.485
15,0.786,0.869,0.89
20,1.167,1.298,1.206
25,1.524,1.627,1.579
30,1.909,1.988,1.999
35,2.288,2.313,2.306
40,2.694,2.799,2.688
45,3.008,3.12,3.027
50,3.386,3.485,3.489
55,3.798,3.898,3.758
60,4.089,4.222,4.186
65,4.481,4.589,4.488
70,4.822,4.998,4.828
75,5.189,5.319,5.203
80,5.584,5.699,5.559
85,5.988,6.088,5.928
90,6.369,6.476,6.182
95,6.738,6.868,6.582
100,7.195,7.294,6.932
105,7.596,7.678,7.388
110,7.923,8.074,7.689
115,8.288,8.386,8.082
120,8.686,,
