Time,Trial 1,Trial 2,Trial 3
0,4.098,2.123,2.188
5,4.368,2.394,2.418
10,4.628,2.688,2.668
15,4.888,2.936,2.928
20,5.169,3.203,3.178
25,5.428,3.479,3.434
30,5.689,3.798,3.687
35,5.957,4.026,3.928
40,6.228,4.278,4.188
45,6.488,4.528,4.443
50,6.798,4.788,4.688
55,6.988,5.06,4.994
60,7.282,5.324,5.282
65,7.538,5.588,5.458
70,7.797,5.868,5.7
75,8.05,6.128,5.95
80,8.328,6.389,6.209
85,8.589,6.658,6.468
90,8.898,6.929,6.703
95,,7.199,6.958
100,,7.468,7.209
105,,7.738,7.459
110,,8.088,7.708
115,,8.27,7.968
120,,8.598,8.204
