Time,Trial 1,Trial 2,Trial 3
0,1.476,2.392,3.378
5,1.642,2.623,3.589
10,1.888,2.892,3.819
15,2.099,3.068,4.028
20,2.328,3.288,4.249
25,2.556,3.509,4.469
30,2.787,3.723,4.689
35,3.009,3.949,4.908
40,3.249,4.189,5.128
45,3.489,4.398,5.398
50,3.697,4.608,5.559
55,3.928,4.828,5.789
60,4.159,5.098,5.988
65,4.337,5.253,6.203
70,4.608,5.488,6.428
75,4.833,5.688,6.698
80,5.063,5.906,6.869
85,5.298,6.128,7.079
90,5.524,6.348,7.288
95,5.798,6.558,7.518
100,5.963,6.778,7.728
105,6.199,6.989,7.998
110,6.428,7.207,8.169
115,6.648,7.428,8.379
120,6.873,7.637,8.598
